iata,lat,lon,arrsum,arrcount,depsum,depcount,delaysum,delaycount,time
LAX,33.94250107,-118.40799709999999,24.0,1.0,21.0,2.0,45.0,3.0,500
ORD,41.9786,-87.9048,0.0,0.0,0.0,0.0,0.0,0.0,500
DEN,39.861698150635,-104.672996521,45.0,1.0,0.0,0.0,45.0,1.0,500
DFW,32.896801,-97.038002,0.0,0.0,0.0,0.0,0.0,0.0,500
LAS,36.08010101,-115.15200039999999,0.0,0.0,1.0,1.0,1.0,1.0,500
SFO,37.61899948120117,-122.375,0.0,0.0,0.0,0.0,0.0,0.0,500
PHX,33.43429946899414,-112.01200103759766,0.0,0.0,0.0,0.0,0.0,0.0,500
IAH,29.98439979553223,-95.34140014648438,0.0,0.0,0.0,0.0,0.0,0.0,500
SEA,47.449001,-122.308998,0.0,0.0,3.0,1.0,3.0,1.0,500
BOS,42.36429977,-71.00520325,0.0,0.0,37.0,3.0,37.0,3.0,500
MCO,28.429399490356445,-81.30899810791016,0.0,0.0,0.0,0.0,0.0,0.0,500
EWR,40.69250106811523,-74.168701171875,0.0,0.0,0.0,0.0,0.0,0.0,500
LGA,40.77719879,-73.87259674,0.0,0.0,0.0,0.0,0.0,0.0,500
JFK,40.63980103,-73.77890015,33.0,2.0,4.0,1.0,37.0,3.0,500
FLL,26.072599,-80.152702,0.0,0.0,0.0,0.0,0.0,0.0,500
SAN,32.7336006165,-117.190002441,0.0,0.0,0.0,0.0,0.0,0.0,500
CLT,35.2140007019043,-80.94309997558594,0.0,0.0,0.0,0.0,0.0,0.0,500
DTW,42.212398529052734,-83.35340118408203,0.0,0.0,0.0,0.0,0.0,0.0,500
DCA,38.8521,-77.037697,0.0,0.0,0.0,0.0,0.0,0.0,500
MSP,44.882,-93.221802,0.0,0.0,0.0,0.0,0.0,0.0,500
MIA,25.79319953918457,-80.29060363769531,0.0,0.0,0.0,0.0,0.0,0.0,500
BWI,39.1754,-76.668297,0.0,0.0,0.0,0.0,0.0,0.0,500
PHL,39.87189865112305,-75.24109649658203,0.0,0.0,0.0,0.0,0.0,0.0,500
TPA,27.975500106811523,-82.533203125,0.0,0.0,0.0,0.0,0.0,0.0,500
SLC,40.78839874267578,-111.97799682617188,0.0,0.0,0.0,0.0,0.0,0.0,500
IAD,38.94449997,-77.45580292,0.0,0.0,0.0,0.0,0.0,0.0,500
MDW,41.785999,-87.752403,0.0,0.0,0.0,0.0,0.0,0.0,500
BNA,36.1245002746582,-86.6781997680664,0.0,0.0,14.0,4.0,14.0,4.0,500
PDX,45.58869934,-122.59799960000001,0.0,0.0,3.0,1.0,3.0,1.0,500
DAL,32.847099,-96.851799,0.0,0.0,0.0,0.0,0.0,0.0,500
AUS,30.2987223546,-97.6997852325,0.0,0.0,11.0,2.0,11.0,2.0,500
RDU,35.877601623535156,-78.7874984741211,0.0,0.0,20.0,5.0,20.0,5.0,500
STL,38.748697,-90.370003,0.0,0.0,3.0,1.0,3.0,1.0,500
MSY,29.99340057373047,-90.25800323486328,0.0,0.0,0.0,0.0,0.0,0.0,500
MCI,39.2976,-94.713898,0.0,0.0,4.0,2.0,4.0,2.0,500
HOU,29.64539909,-95.27890015,0.0,0.0,3.0,1.0,3.0,1.0,500
PIT,40.49150085,-80.23290253,0.0,0.0,0.0,0.0,0.0,0.0,500
SJC,37.362598,-121.929001,0.0,0.0,0.0,0.0,0.0,0.0,500
OAK,37.721298,-122.221001,0.0,0.0,0.0,0.0,0.0,0.0,500
SMF,38.69540023803711,-121.59100341796876,0.0,0.0,0.0,0.0,0.0,0.0,500
IND,39.7173,-86.294403,0.0,0.0,12.0,2.0,12.0,2.0,500
SNA,33.67570114,-117.86799620000001,0.0,0.0,0.0,0.0,0.0,0.0,500
CLE,41.411701202399996,-81.8498001099,0.0,0.0,0.0,0.0,0.0,0.0,500
CMH,39.998001,-82.891899,0.0,0.0,0.0,0.0,0.0,0.0,500
SAT,29.533700942993164,-98.46980285644531,0.0,0.0,0.0,0.0,0.0,0.0,500
CVG,39.0488014221,-84.6678009033,0.0,0.0,0.0,0.0,0.0,0.0,500
JAX,30.49410057067871,-81.68789672851562,0.0,0.0,0.0,0.0,0.0,0.0,500
HNL,21.32062,-157.924228,0.0,0.0,0.0,0.0,0.0,0.0,500
MKE,42.94720077514648,-87.89659881591797,0.0,0.0,21.0,2.0,21.0,2.0,500
ATL,33.6367,-84.428101,9.0,2.0,75.0,7.0,84.0,9.0,600
LAX,33.94250107,-118.40799709999999,0.0,0.0,106.0,5.0,106.0,5.0,600
ORD,41.9786,-87.9048,4.0,1.0,44.0,3.0,48.0,4.0,600
DEN,39.861698150635,-104.672996521,0.0,0.0,0.0,0.0,0.0,0.0,600
DFW,32.896801,-97.038002,17.0,2.0,12.0,1.0,29.0,3.0,600
LAS,36.08010101,-115.15200039999999,2.0,1.0,24.0,4.0,26.0,5.0,600
SFO,37.61899948120117,-122.375,0.0,0.0,59.0,3.0,59.0,3.0,600
PHX,33.43429946899414,-112.01200103759766,0.0,0.0,3.0,2.0,3.0,2.0,600
IAH,29.98439979553223,-95.34140014648438,0.0,0.0,17.0,2.0,17.0,2.0,600
SEA,47.449001,-122.308998,0.0,0.0,76.0,3.0,76.0,3.0,600
BOS,42.36429977,-71.00520325,37.0,2.0,27.0,3.0,64.0,5.0,600
MCO,28.429399490356445,-81.30899810791016,0.0,0.0,21.0,2.0,21.0,2.0,600
EWR,40.69250106811523,-74.168701171875,3.0,1.0,48.0,6.0,51.0,7.0,600
LGA,40.77719879,-73.87259674,2.0,1.0,36.0,5.0,38.0,6.0,600
JFK,40.63980103,-73.77890015,6.0,2.0,18.0,2.0,24.0,4.0,600
